Drug Name,Price,Instruction of Usage
Amoxicillin,12568,Take one tablet before bedtime.
Gabapentin,6122,Take one tablet three times a day.
Levothyroxine,31329,Take one tablet every morning.
Amoxicillin,23689,Take one tablet every 6 hours.
Metoprolol,48055,Take one tablet twice daily.
Amlodipine,10811,Take one tablet daily.
Amoxicillin,20374,Take one tablet three times a day.
Lisinopril,21676,Take one tablet daily.
Azithromycin,37855,Take one tablet every 6 hours.
Azithromycin,25352,Take one tablet three times a day.
Azithromycin,40137,Take one tablet twice daily.
Cetirizine,30519,Take one tablet every morning.
Gabapentin,21769,Take one tablet daily.
Ibuprofen,28908,Take one tablet with water.
Montelukast,8731,Take one tablet twice daily.
Lisinopril,11144,Take one tablet twice daily.
Tamsulosin,30457,Take one tablet every 8 hours for 7 days.
Gabapentin,49879,Take one tablet every 8 hours for 7 days.
Amlodipine,9645,Take one tablet three times a day.
Simvastatin,14951,Take one tablet every morning.
Montelukast,21026,Take one tablet before meals.
Simvastatin,9294,Take one tablet every 8 hours for 7 days.
Ibuprofen,10252,Take one tablet before meals.
Hydrochlorothiazide,26930,Take one tablet every 6 hours.
Gabapentin,42702,Take one tablet every 8 hours for 7 days.
Gabapentin,12401,Take one tablet before bedtime.
Metformin,21373,Take one tablet before bedtime.
Metoprolol,10532,Take one tablet with water.
Montelukast,32653,Take one tablet with water.
Lisinopril,45246,Take one tablet every 8 hours for 7 days.
Hydrochlorothiazide,40911,Take one tablet daily.
Losartan,49641,Take one tablet with water.
Metoprolol,24845,Take one tablet every 4-6 hours.
Omeprazole,28138,Take one tablet before bedtime.
Amlodipine,16591,Take one tablet every 4-6 hours.
Furosemide,12986,Take one tablet every 6 hours.
Gabapentin,13823,Take one tablet before meals.
Hydrochlorothiazide,8782,Take one tablet every 8 hours for 7 days.
Amoxicillin,43359,Take one tablet before meals.
Amoxicillin,25074,Take one tablet every 8 hours for 7 days.
Gabapentin,21617,Take one tablet twice daily.
Furosemide,7936,Take one tablet every 8 hours for 7 days.
Simvastatin,35936,Take one tablet twice daily.
Atorvastatin,36250,Take one tablet every 8 hours for 7 days.
Hydrochlorothiazide,40725,Take one tablet before meals.
Omeprazole,47128,Take one tablet every 4-6 hours.
Metoprolol,16609,Take one tablet before bedtime.
Amlodipine,33433,Take one tablet with water.
Lisinopril,46897,Take one tablet twice daily.
Sertraline,30481,Take one tablet twice daily.
Sertraline,18863,Take one tablet three times a day.
Paracetamol,8693,Take one tablet before bedtime.
Azithromycin,10379,Take one tablet before bedtime.
Paracetamol,41313,Take one tablet twice daily.
Losartan,45738,Take one tablet with water.
Azithromycin,27621,Take one tablet three times a day.
Amlodipine,29375,Take one tablet daily.
Amoxicillin,32212,Take one tablet twice daily.
Levothyroxine,26913,Take one tablet three times a day.
Amlodipine,11531,Take one tablet with water.
Tamsulosin,24903,Take one tablet twice daily.
Cetirizine,32332,Take one tablet every 4-6 hours.
Omeprazole,35248,Take one tablet before meals.
Azithromycin,18145,Take one tablet every 6 hours.
Lisinopril,32245,Take one tablet before bedtime.
Montelukast,7298,Take one tablet twice daily.
Omeprazole,45243,Take one tablet daily.
Atorvastatin,47289,Take one tablet before bedtime.
Sertraline,46526,Take one tablet every 4-6 hours.
Gabapentin,42339,Take one tablet twice daily.
Metformin,46839,Take one tablet three times a day.
Atorvastatin,30438,Take one tablet daily.
Metformin,43682,Take one tablet twice daily.
Metformin,6565,Take one tablet daily.
Cetirizine,36866,Take one tablet every morning.
Metformin,26257,Take one tablet every 8 hours for 7 days.
Furosemide,40142,Take one tablet daily.
Montelukast,37001,Take one tablet before meals.
Lisinopril,11466,Take one tablet daily.
Levothyroxine,17181,Take one tablet before bedtime.
Cetirizine,41646,Take one tablet every morning.
Metformin,42092,Take one tablet every morning.
Gabapentin,44665,Take one tablet before bedtime.
Hydrochlorothiazide,26337,Take one tablet every 8 hours for 7 days.
Montelukast,18380,Take one tablet every 8 hours for 7 days.
Montelukast,48233,Take one tablet with water.
Paracetamol,29216,Take one tablet before bedtime.
Amlodipine,12290,Take one tablet every 8 hours for 7 days.
Montelukast,48183,Take one tablet with water.
Metformin,24892,Take one tablet before bedtime.
Sertraline,18351,Take one tablet every 4-6 hours.
Lisinopril,19890,Take one tablet twice daily.
Levothyroxine,49463,Take one tablet every 6 hours.
Furosemide,31530,Take one tablet every 8 hours for 7 days.
Cetirizine,22236,Take one tablet every 6 hours.
Simvastatin,39099,Take one tablet every 8 hours for 7 days.
Paracetamol,38053,Take one tablet every 6 hours.
Omeprazole,5597,Take one tablet every 4-6 hours.
Sertraline,8305,Take one tablet daily.
Lisinopril,7009,Take one tablet every morning.
Paracetamol,39420,Take one tablet every 8 hours for 7 days.
Hydrochlorothiazide,36647,Take one tablet every 8 hours for 7 days.
Gabapentin,5353,Take one tablet every 6 hours.
Hydrochlorothiazide,28324,Take one tablet every 8 hours for 7 days.
Azithromycin,7031,Take one tablet with water.
Amoxicillin,36160,Take one tablet every 6 hours.
Cetirizine,21845,Take one tablet before meals.
Amoxicillin,20913,Take one tablet with water.
Metformin,44368,Take one tablet with water.
Losartan,45426,Take one tablet twice daily.
Omeprazole,19013,Take one tablet before bedtime.
Metoprolol,33634,Take one tablet before bedtime.
Azithromycin,20172,Take one tablet with water.
Atorvastatin,36957,Take one tablet every morning.
Ibuprofen,17363,Take one tablet every 6 hours.
Omeprazole,18222,Take one tablet three times a day.
Cetirizine,31547,Take one tablet every morning.
Amlodipine,33403,Take one tablet three times a day.
Montelukast,20517,Take one tablet before meals.
Metformin,39718,Take one tablet every 4-6 hours.
Cetirizine,38954,Take one tablet with water.
Gabapentin,23001,Take one tablet before meals.
Cetirizine,9291,Take one tablet three times a day.
Simvastatin,34087,Take one tablet three times a day.
Gabapentin,37656,Take one tablet daily.
Azithromycin,40036,Take one tablet every 6 hours.
Tamsulosin,8919,Take one tablet twice daily.
Cetirizine,17912,Take one tablet daily.
Cetirizine,15644,Take one tablet every 6 hours.
Levothyroxine,20447,Take one tablet every 4-6 hours.
Levothyroxine,30104,Take one tablet twice daily.
Simvastatin,37875,Take one tablet every 8 hours for 7 days.
Ibuprofen,25336,Take one tablet every 8 hours for 7 days.
Hydrochlorothiazide,22053,Take one tablet daily.
Tamsulosin,12523,Take one tablet daily.
Amoxicillin,6359,Take one tablet before bedtime.
Omeprazole,26856,Take one tablet three times a day.
Metformin,14192,Take one tablet twice daily.
Amlodipine,32824,Take one tablet every morning.
Losartan,20691,Take one tablet before meals.
Hydrochlorothiazide,38193,Take one tablet every 6 hours.
Furosemide,47587,Take one tablet daily.
Metformin,10664,Take one tablet every morning.
Gabapentin,16394,Take one tablet with water.
Furosemide,10491,Take one tablet every 8 hours for 7 days.
Cetirizine,20418,Take one tablet three times a day.
Lisinopril,33011,Take one tablet every morning.
Gabapentin,32283,Take one tablet twice daily.
Amoxicillin,29295,Take one tablet every 4-6 hours.
Hydrochlorothiazide,43372,Take one tablet before bedtime.
Tamsulosin,38836,Take one tablet with water.
Atorvastatin,37247,Take one tablet twice daily.
Paracetamol,19565,Take one tablet every 6 hours.
Ibuprofen,17883,Take one tablet every morning.
Gabapentin,29505,Take one tablet every 4-6 hours.
Ibuprofen,49796,Take one tablet daily.
Omeprazole,9750,Take one tablet before bedtime.
Lisinopril,47933,Take one tablet before meals.
Furosemide,28861,Take one tablet with water.
Metoprolol,31524,Take one tablet every 4-6 hours.
Simvastatin,12699,Take one tablet before meals.
Levothyroxine,41436,Take one tablet with water.
Montelukast,27585,Take one tablet every morning.
Furosemide,10282,Take one tablet with water.
Levothyroxine,28053,Take one tablet before meals.
Amlodipine,26808,Take one tablet daily.
Furosemide,16320,Take one tablet every 4-6 hours.
Metoprolol,26711,Take one tablet every 6 hours.
Lisinopril,13763,Take one tablet twice daily.
Metformin,14998,Take one tablet every 6 hours.
Amoxicillin,13439,Take one tablet three times a day.
Atorvastatin,21759,Take one tablet before bedtime.
Atorvastatin,26847,Take one tablet every 8 hours for 7 days.
Amlodipine,24153,Take one tablet every 6 hours.
Atorvastatin,34594,Take one tablet three times a day.
Cetirizine,34060,Take one tablet twice daily.
Amlodipine,24078,Take one tablet every 4-6 hours.
Hydrochlorothiazide,19021,Take one tablet before bedtime.
Montelukast,15161,Take one tablet before meals.
Ibuprofen,33508,Take one tablet before meals.
Metoprolol,42130,Take one tablet every 8 hours for 7 days.
Simvastatin,8379,Take one tablet with water.
Amoxicillin,9352,Take one tablet twice daily.
Paracetamol,44725,Take one tablet every morning.
Azithromycin,14754,Take one tablet before bedtime.
Levothyroxine,48184,Take one tablet every 4-6 hours.
Hydrochlorothiazide,31738,Take one tablet every 8 hours for 7 days.
Furosemide,13029,Take one tablet every morning.
Simvastatin,38470,Take one tablet every morning.
Simvastatin,18794,Take one tablet daily.
Montelukast,28001,Take one tablet twice daily.
Azithromycin,7193,Take one tablet before bedtime.
Amoxicillin,34001,Take one tablet every 6 hours.
Lisinopril,44954,Take one tablet every 8 hours for 7 days.
Amlodipine,12267,Take one tablet twice daily.
Levothyroxine,9024,Take one tablet twice daily.
Amoxicillin,29988,Take one tablet every morning.
Metoprolol,27755,Take one tablet before meals.
Azithromycin,33841,Take one tablet before meals.
Lisinopril,32663,Take one tablet every morning.
Montelukast,14333,Take one tablet three times a day.
Metoprolol,45356,Take one tablet three times a day.
Metformin,40960,Take one tablet every morning.
Metformin,33414,Take one tablet every morning.
Cetirizine,25183,Take one tablet before meals.
Simvastatin,13505,Take one tablet twice daily.
Metoprolol,23991,Take one tablet before meals.
Sertraline,13439,Take one tablet before meals.
Tamsulosin,9153,Take one tablet every 6 hours.
Cetirizine,35060,Take one tablet three times a day.
Lisinopril,24455,Take one tablet twice daily.
Lisinopril,19199,Take one tablet every morning.
Azithromycin,32327,Take one tablet every 8 hours for 7 days.
Atorvastatin,28384,Take one tablet before meals.
Omeprazole,31332,Take one tablet before bedtime.
Gabapentin,24125,Take one tablet three times a day.
Montelukast,38792,Take one tablet every 8 hours for 7 days.
Sertraline,5487,Take one tablet with water.
Montelukast,15920,Take one tablet with water.
Sertraline,39250,Take one tablet with water.
Omeprazole,33254,Take one tablet every 8 hours for 7 days.
Ibuprofen,25033,Take one tablet every morning.
Ibuprofen,36979,Take one tablet every morning.
Losartan,7044,Take one tablet before meals.
Losartan,36705,Take one tablet every 6 hours.
Paracetamol,49197,Take one tablet every 6 hours.
Lisinopril,33143,Take one tablet twice daily.
Metoprolol,30549,Take one tablet every 8 hours for 7 days.
Tamsulosin,20050,Take one tablet before meals.
Paracetamol,35055,Take one tablet every 6 hours.
Metoprolol,14102,Take one tablet every 8 hours for 7 days.
Azithromycin,10743,Take one tablet every 6 hours.
Gabapentin,20627,Take one tablet every 6 hours.
Omeprazole,33282,Take one tablet every morning.
Tamsulosin,34462,Take one tablet before bedtime.
Hydrochlorothiazide,28191,Take one tablet with water.
Ibuprofen,5956,Take one tablet with water.
Simvastatin,24104,Take one tablet every 4-6 hours.
Cetirizine,40530,Take one tablet twice daily.
Paracetamol,21808,Take one tablet every morning.
Azithromycin,44086,Take one tablet twice daily.
Levothyroxine,40223,Take one tablet before bedtime.
Ibuprofen,10192,Take one tablet every 4-6 hours.
Metoprolol,11147,Take one tablet every 4-6 hours.
Hydrochlorothiazide,18341,Take one tablet before meals.
Metformin,48751,Take one tablet every morning.
Losartan,26552,Take one tablet every morning.
Amlodipine,24806,Take one tablet before meals.
Tamsulosin,16250,Take one tablet with water.
Atorvastatin,15756,Take one tablet every morning.
Azithromycin,16198,Take one tablet daily.
Metformin,35180,Take one tablet every morning.
Amlodipine,19200,Take one tablet before meals.
Ibuprofen,25426,Take one tablet with water.
Simvastatin,32691,Take one tablet with water.
Ibuprofen,40955,Take one tablet every 8 hours for 7 days.
Levothyroxine,48545,Take one tablet daily.
Omeprazole,31154,Take one tablet before bedtime.
Amlodipine,40072,Take one tablet with water.
Hydrochlorothiazide,17761,Take one tablet three times a day.
Ibuprofen,10829,Take one tablet three times a day.
Ibuprofen,18787,Take one tablet before meals.
Amlodipine,15171,Take one tablet daily.
Atorvastatin,11319,Take one tablet before meals.
Gabapentin,9502,Take one tablet every 8 hours for 7 days.
Paracetamol,24076,Take one tablet with water.
Atorvastatin,42711,Take one tablet before meals.
Ibuprofen,31634,Take one tablet twice daily.
Amoxicillin,22034,Take one tablet before meals.
Atorvastatin,15250,Take one tablet three times a day.
Atorvastatin,31617,Take one tablet daily.
Amlodipine,21747,Take one tablet twice daily.
Sertraline,43705,Take one tablet daily.
Metformin,45156,Take one tablet every morning.
Lisinopril,5938,Take one tablet every 6 hours.
Ibuprofen,27549,Take one tablet every 8 hours for 7 days.
Cetirizine,7280,Take one tablet with water.
Lisinopril,13353,Take one tablet with water.
Paracetamol,16774,Take one tablet before bedtime.
Montelukast,21332,Take one tablet every 6 hours.
Sertraline,38183,Take one tablet before meals.
Gabapentin,45207,Take one tablet with water.
Furosemide,44650,Take one tablet every 4-6 hours.
Omeprazole,22328,Take one tablet daily.
Azithromycin,39864,Take one tablet every 8 hours for 7 days.
Furosemide,17254,Take one tablet every 6 hours.
Gabapentin,7245,Take one tablet twice daily.
Montelukast,29610,Take one tablet before bedtime.
Sertraline,28909,Take one tablet twice daily.
Simvastatin,30065,Take one tablet every morning.
Paracetamol,45338,Take one tablet with water.
Ibuprofen,10183,Take one tablet every 4-6 hours.
Simvastatin,12981,Take one tablet with water.
Atorvastatin,29980,Take one tablet daily.
Atorvastatin,29513,Take one tablet every 4-6 hours.
Sertraline,24352,Take one tablet every morning.
Montelukast,26639,Take one tablet every 6 hours.
Amoxicillin,31662,Take one tablet every 6 hours.
Sertraline,35277,Take one tablet every 6 hours.
Tamsulosin,36624,Take one tablet twice daily.
Azithromycin,32010,Take one tablet every morning.
Amoxicillin,45219,Take one tablet twice daily.
Hydrochlorothiazide,10732,Take one tablet twice daily.
Azithromycin,18626,Take one tablet every morning.
Gabapentin,8148,Take one tablet before meals.
Metformin,47754,Take one tablet with water.
Metformin,5763,Take one tablet every 6 hours.
Levothyroxine,25257,Take one tablet before bedtime.
Atorvastatin,43344,Take one tablet every 4-6 hours.
Simvastatin,11686,Take one tablet three times a day.
Amoxicillin,31102,Take one tablet before bedtime.
Paracetamol,24314,Take one tablet twice daily.
Metoprolol,6752,Take one tablet every morning.
Simvastatin,14167,Take one tablet twice daily.
Tamsulosin,6705,Take one tablet three times a day.
Ibuprofen,10115,Take one tablet daily.
Tamsulosin,25274,Take one tablet three times a day.
Azithromycin,42451,Take one tablet before meals.
Montelukast,5426,Take one tablet every 8 hours for 7 days.
Amlodipine,39753,Take one tablet before bedtime.
Sertraline,27564,Take one tablet twice daily.
Metoprolol,15285,Take one tablet with water.
Sertraline,37795,Take one tablet every 6 hours.
Losartan,45867,Take one tablet before meals.
Metformin,46879,Take one tablet with water.
Simvastatin,18470,Take one tablet every 6 hours.
Levothyroxine,49267,Take one tablet with water.
Gabapentin,24681,Take one tablet before bedtime.
Lisinopril,48071,Take one tablet twice daily.
Amlodipine,39184,Take one tablet twice daily.
Levothyroxine,35182,Take one tablet before meals.
Lisinopril,31366,Take one tablet three times a day.
Tamsulosin,15100,Take one tablet daily.
Levothyroxine,7487,Take one tablet daily.
Omeprazole,41448,Take one tablet every 8 hours for 7 days.
Sertraline,19009,Take one tablet every 6 hours.
Metformin,11765,Take one tablet every 6 hours.
Omeprazole,32758,Take one tablet daily.
Losartan,42946,Take one tablet three times a day.
Tamsulosin,44300,Take one tablet every 4-6 hours.
Hydrochlorothiazide,7773,Take one tablet every 6 hours.
Amlodipine,19591,Take one tablet every morning.
Montelukast,7123,Take one tablet every 8 hours for 7 days.
Amlodipine,41749,Take one tablet every 8 hours for 7 days.
Amlodipine,26086,Take one tablet every 8 hours for 7 days.
Amlodipine,23222,Take one tablet three times a day.
Gabapentin,23779,Take one tablet with water.
Simvastatin,33745,Take one tablet every 6 hours.
Amlodipine,47681,Take one tablet twice daily.
Sertraline,9628,Take one tablet daily.
Cetirizine,38347,Take one tablet with water.
Levothyroxine,6554,Take one tablet daily.
Lisinopril,37529,Take one tablet every morning.
Lisinopril,16129,Take one tablet every 8 hours for 7 days.
Metformin,14006,Take one tablet every 8 hours for 7 days.
Lisinopril,30843,Take one tablet every morning.
Hydrochlorothiazide,16529,Take one tablet before bedtime.
Omeprazole,5406,Take one tablet before meals.
Metformin,30006,Take one tablet before bedtime.
Simvastatin,46580,Take one tablet twice daily.
Atorvastatin,22171,Take one tablet with water.
Losartan,30028,Take one tablet three times a day.
Gabapentin,19890,Take one tablet every morning.
Lisinopril,19460,Take one tablet every 4-6 hours.
Amlodipine,7081,Take one tablet daily.
Amoxicillin,49680,Take one tablet every 6 hours.
Metoprolol,12633,Take one tablet with water.
Amlodipine,34291,Take one tablet every 8 hours for 7 days.
Losartan,15771,Take one tablet every 8 hours for 7 days.
Montelukast,21394,Take one tablet every 8 hours for 7 days.
Furosemide,13601,Take one tablet daily.
Amlodipine,36653,Take one tablet every 8 hours for 7 days.
Sertraline,31387,Take one tablet every 6 hours.
Montelukast,28281,Take one tablet three times a day.
Atorvastatin,8014,Take one tablet daily.
Ibuprofen,27065,Take one tablet three times a day.
Atorvastatin,40764,Take one tablet three times a day.
Gabapentin,44225,Take one tablet daily.
Hydrochlorothiazide,18813,Take one tablet before bedtime.
Ibuprofen,7144,Take one tablet three times a day.
Amoxicillin,29716,Take one tablet every 6 hours.
Gabapentin,36461,Take one tablet twice daily.
Lisinopril,48603,Take one tablet every 4-6 hours.
Gabapentin,48427,Take one tablet before meals.
Azithromycin,27920,Take one tablet every 6 hours.
Simvastatin,15267,Take one tablet daily.
Montelukast,27983,Take one tablet every 6 hours.
Amlodipine,40115,Take one tablet every 4-6 hours.
Omeprazole,34836,Take one tablet with water.
Paracetamol,25884,Take one tablet with water.
Montelukast,44972,Take one tablet daily.
Tamsulosin,6670,Take one tablet daily.
Azithromycin,46911,Take one tablet with water.
Lisinopril,23201,Take one tablet every 4-6 hours.
Montelukast,28293,Take one tablet every 8 hours for 7 days.
Lisinopril,33049,Take one tablet every 8 hours for 7 days.
Simvastatin,27029,Take one tablet every 4-6 hours.
Paracetamol,45490,Take one tablet before bedtime.
Levothyroxine,29751,Take one tablet every 8 hours for 7 days.
Levothyroxine,26167,Take one tablet every 4-6 hours.
Sertraline,47735,Take one tablet daily.
Hydrochlorothiazide,18010,Take one tablet every 8 hours for 7 days.
Simvastatin,40744,Take one tablet before meals.
Lisinopril,25405,Take one tablet before bedtime.
Atorvastatin,18176,Take one tablet every 6 hours.
Furosemide,8401,Take one tablet twice daily.
Azithromycin,22869,Take one tablet every morning.
Azithromycin,10575,Take one tablet three times a day.
Metoprolol,30646,Take one tablet every 4-6 hours.
Amlodipine,6625,Take one tablet with water.
Metoprolol,26354,Take one tablet daily.
Azithromycin,17698,Take one tablet every 8 hours for 7 days.
Furosemide,33597,Take one tablet every morning.
Montelukast,19133,Take one tablet every morning.
Ibuprofen,16229,Take one tablet every 6 hours.
Metoprolol,22452,Take one tablet every 6 hours.
Metformin,33584,Take one tablet every 8 hours for 7 days.
Amoxicillin,17564,Take one tablet before meals.
Levothyroxine,48620,Take one tablet every 4-6 hours.
Azithromycin,41655,Take one tablet before bedtime.
Metformin,31809,Take one tablet every morning.
Losartan,47952,Take one tablet every morning.
Metformin,29064,Take one tablet daily.
Azithromycin,14617,Take one tablet every 6 hours.
Amoxicillin,42186,Take one tablet every 4-6 hours.
Metformin,5138,Take one tablet twice daily.
Paracetamol,23858,Take one tablet every morning.
Lisinopril,33567,Take one tablet every 8 hours for 7 days.
Paracetamol,44321,Take one tablet before bedtime.
Sertraline,6539,Take one tablet every 8 hours for 7 days.
Amoxicillin,18407,Take one tablet every morning.
Omeprazole,40859,Take one tablet twice daily.
Tamsulosin,19435,Take one tablet with water.
Cetirizine,27234,Take one tablet every morning.
Levothyroxine,8081,Take one tablet before meals.
Montelukast,24245,Take one tablet every morning.
Metformin,33045,Take one tablet before meals.
Lisinopril,30545,Take one tablet every morning.
Cetirizine,43306,Take one tablet before meals.
Tamsulosin,45974,Take one tablet before bedtime.
Tamsulosin,44333,Take one tablet with water.
Tamsulosin,42489,Take one tablet every 6 hours.
Furosemide,33012,Take one tablet before bedtime.
Cetirizine,35085,Take one tablet three times a day.
Ibuprofen,25767,Take one tablet every 4-6 hours.
Levothyroxine,49266,Take one tablet with water.
Tamsulosin,27411,Take one tablet every 6 hours.
Levothyroxine,16904,Take one tablet before meals.
Ibuprofen,36504,Take one tablet three times a day.
Furosemide,47419,Take one tablet daily.
Amlodipine,49003,Take one tablet every 4-6 hours.
Amlodipine,47084,Take one tablet before bedtime.
Lisinopril,15264,Take one tablet every 8 hours for 7 days.
Cetirizine,29657,Take one tablet daily.
Azithromycin,43757,Take one tablet every 8 hours for 7 days.
Hydrochlorothiazide,43378,Take one tablet daily.
Atorvastatin,6794,Take one tablet three times a day.
Azithromycin,8225,Take one tablet every 8 hours for 7 days.
Atorvastatin,28338,Take one tablet with water.
Cetirizine,11713,Take one tablet daily.
Gabapentin,37172,Take one tablet every morning.
Lisinopril,44532,Take one tablet every 8 hours for 7 days.
Gabapentin,10782,Take one tablet three times a day.
Tamsulosin,41661,Take one tablet every 4-6 hours.
Ibuprofen,39757,Take one tablet daily.
Metoprolol,38668,Take one tablet three times a day.
Lisinopril,26438,Take one tablet before meals.
Tamsulosin,10996,Take one tablet before bedtime.
Furosemide,37330,Take one tablet daily.
Metoprolol,48416,Take one tablet every 8 hours for 7 days.
Simvastatin,20863,Take one tablet three times a day.
Ibuprofen,22312,Take one tablet every 6 hours.
Azithromycin,40943,Take one tablet every 6 hours.
Azithromycin,23673,Take one tablet before meals.
Azithromycin,11536,Take one tablet every 8 hours for 7 days.
Hydrochlorothiazide,42910,Take one tablet daily.
Losartan,47597,Take one tablet twice daily.
Atorvastatin,10506,Take one tablet before meals.
Metformin,25626,Take one tablet every morning.
Sertraline,18021,Take one tablet every 6 hours.
Ibuprofen,13010,Take one tablet every 8 hours for 7 days.
Azithromycin,43616,Take one tablet every morning.
Losartan,23265,Take one tablet before meals.
Metformin,37805,Take one tablet before meals.
Losartan,27630,Take one tablet every 8 hours for 7 days.
Amlodipine,49829,Take one tablet every morning.
Gabapentin,17438,Take one tablet before meals.
Montelukast,35435,Take one tablet every morning.
Furosemide,22709,Take one tablet before bedtime.
Amoxicillin,27478,Take one tablet before bedtime.
Metformin,40551,Take one tablet every 8 hours for 7 days.
Furosemide,21827,Take one tablet twice daily.
Montelukast,45483,Take one tablet daily.
Simvastatin,9561,Take one tablet twice daily.
Tamsulosin,5017,Take one tablet every 8 hours for 7 days.
Paracetamol,37535,Take one tablet every 6 hours.
Levothyroxine,34052,Take one tablet every 8 hours for 7 days.
