Drug Name,Price,Instruction of Usage
Levothyroxine,28956,Take one tablet every 4-6 hours.
Gabapentin,31399,Take one tablet with water.
Lisinopril,44173,Take one tablet daily.
Paracetamol,46384,Take one tablet every 8 hours for 7 days.
Ibuprofen,28591,Take one tablet three times a day.
Metformin,19367,Take one tablet every 4-6 hours.
Amoxicillin,17361,Take one tablet every 6 hours.
Metoprolol,36177,Take one tablet before bedtime.
Amoxicillin,14970,Take one tablet twice daily.
Metformin,18648,Take one tablet every morning.
Amoxicillin,34126,Take one tablet twice daily.
Hydrochlorothiazide,23637,Take one tablet every 8 hours for 7 days.
Tamsulosin,20152,Take one tablet every 8 hours for 7 days.
Amlodipine,26628,Take one tablet twice daily.
Amoxicillin,41012,Take one tablet daily.
Tamsulosin,47433,Take one tablet with water.
Furosemide,43923,Take one tablet twice daily.
Tamsulosin,42389,Take one tablet every 8 hours for 7 days.
Azithromycin,11665,Take one tablet before bedtime.
Lisinopril,13384,Take one tablet every 4-6 hours.
Azithromycin,29675,Take one tablet before meals.
Amlodipine,22192,Take one tablet twice daily.
Sertraline,13990,Take one tablet every morning.
Lisinopril,34278,Take one tablet every 8 hours for 7 days.
Metoprolol,27538,Take one tablet every 6 hours.
Gabapentin,45974,Take one tablet every 8 hours for 7 days.
Paracetamol,33792,Take one tablet three times a day.
Montelukast,30721,Take one tablet every 6 hours.
Paracetamol,24886,Take one tablet every 8 hours for 7 days.
Montelukast,23945,Take one tablet before meals.
Levothyroxine,33987,Take one tablet every morning.
Gabapentin,47564,Take one tablet before meals.
Montelukast,22263,Take one tablet before meals.
Montelukast,32804,Take one tablet with water.
Montelukast,9929,Take one tablet every 6 hours.
Losartan,13335,Take one tablet with water.
Azithromycin,45532,Take one tablet every 6 hours.
Amlodipine,28620,Take one tablet every 4-6 hours.
Gabapentin,26307,Take one tablet every 8 hours for 7 days.
Omeprazole,19368,Take one tablet every morning.
Tamsulosin,38103,Take one tablet every morning.
Furosemide,43705,Take one tablet every 4-6 hours.
Tamsulosin,42287,Take one tablet twice daily.
Hydrochlorothiazide,41649,Take one tablet every 4-6 hours.
Ibuprofen,31855,Take one tablet every 8 hours for 7 days.
Hydrochlorothiazide,42158,Take one tablet before bedtime.
Metoprolol,12670,Take one tablet every 8 hours for 7 days.
Amoxicillin,46974,Take one tablet every 6 hours.
Tamsulosin,43792,Take one tablet every 8 hours for 7 days.
Tamsulosin,47918,Take one tablet every morning.
Ibuprofen,7559,Take one tablet every 6 hours.
Cetirizine,23708,Take one tablet every 4-6 hours.
Omeprazole,23329,Take one tablet every 4-6 hours.
Amlodipine,44815,Take one tablet before meals.
Metformin,18649,Take one tablet twice daily.
Montelukast,19358,Take one tablet every 8 hours for 7 days.
Gabapentin,47711,Take one tablet every morning.
Cetirizine,5773,Take one tablet daily.
Furosemide,33253,Take one tablet twice daily.
Sertraline,45578,Take one tablet three times a day.
Amlodipine,44854,Take one tablet every 4-6 hours.
Gabapentin,37758,Take one tablet twice daily.
Metformin,20308,Take one tablet every 6 hours.
Atorvastatin,24816,Take one tablet before meals.
Lisinopril,36231,Take one tablet daily.
Paracetamol,33624,Take one tablet every 6 hours.
Hydrochlorothiazide,38697,Take one tablet before meals.
Losartan,14416,Take one tablet with water.
Metoprolol,45084,Take one tablet before meals.
Gabapentin,47056,Take one tablet twice daily.
Atorvastatin,17851,Take one tablet every 8 hours for 7 days.
Ibuprofen,37002,Take one tablet every morning.
Tamsulosin,40320,Take one tablet every 6 hours.
Amlodipine,41524,Take one tablet every 6 hours.
Levothyroxine,10172,Take one tablet before bedtime.
Losartan,15095,Take one tablet before bedtime.
Omeprazole,26455,Take one tablet before meals.
Tamsulosin,25147,Take one tablet three times a day.
Atorvastatin,41003,Take one tablet with water.
Furosemide,22425,Take one tablet every 6 hours.
Metoprolol,24058,Take one tablet every morning.
Hydrochlorothiazide,36519,Take one tablet twice daily.
Amlodipine,23450,Take one tablet twice daily.
Azithromycin,8245,Take one tablet before bedtime.
Metformin,33038,Take one tablet daily.
Amlodipine,9201,Take one tablet three times a day.
Cetirizine,47510,Take one tablet before bedtime.
Losartan,8701,Take one tablet daily.
Levothyroxine,32485,Take one tablet every 6 hours.
Lisinopril,13123,Take one tablet twice daily.
Omeprazole,33641,Take one tablet every 4-6 hours.
Omeprazole,9115,Take one tablet before meals.
Cetirizine,45762,Take one tablet every 8 hours for 7 days.
Amoxicillin,34174,Take one tablet with water.
Atorvastatin,44200,Take one tablet every 6 hours.
Levothyroxine,19673,Take one tablet three times a day.
Azithromycin,15706,Take one tablet every 8 hours for 7 days.
Cetirizine,20079,Take one tablet every 4-6 hours.
Montelukast,16758,Take one tablet daily.
Metoprolol,46373,Take one tablet every 6 hours.
Losartan,6684,Take one tablet every 8 hours for 7 days.
Omeprazole,13404,Take one tablet every morning.
Furosemide,9197,Take one tablet twice daily.
Atorvastatin,12418,Take one tablet three times a day.
Paracetamol,19147,Take one tablet before meals.
Ibuprofen,18937,Take one tablet twice daily.
Ibuprofen,11892,Take one tablet twice daily.
Atorvastatin,22649,Take one tablet with water.
Metformin,26603,Take one tablet every 6 hours.
Levothyroxine,9632,Take one tablet every 6 hours.
Atorvastatin,16762,Take one tablet every 4-6 hours.
Metoprolol,27595,Take one tablet before bedtime.
Levothyroxine,27786,Take one tablet twice daily.
Amlodipine,40581,Take one tablet twice daily.
Lisinopril,41645,Take one tablet before bedtime.
Omeprazole,43567,Take one tablet before meals.
Azithromycin,37882,Take one tablet three times a day.
Metformin,20530,Take one tablet every 4-6 hours.
Montelukast,36611,Take one tablet every 8 hours for 7 days.
Metformin,36916,Take one tablet before bedtime.
Gabapentin,30592,Take one tablet every 8 hours for 7 days.
Atorvastatin,19418,Take one tablet before meals.
Furosemide,47927,Take one tablet with water.
Sertraline,11303,Take one tablet three times a day.
Gabapentin,19506,Take one tablet every 6 hours.
Losartan,39534,Take one tablet daily.
Cetirizine,15390,Take one tablet with water.
Amlodipine,34800,Take one tablet twice daily.
Tamsulosin,29019,Take one tablet three times a day.
Tamsulosin,14988,Take one tablet every 4-6 hours.
Losartan,24065,Take one tablet twice daily.
Ibuprofen,11154,Take one tablet before meals.
Sertraline,32825,Take one tablet twice daily.
Paracetamol,33985,Take one tablet daily.
Lisinopril,14850,Take one tablet every 8 hours for 7 days.
Ibuprofen,15711,Take one tablet three times a day.
Simvastatin,38422,Take one tablet every 4-6 hours.
Furosemide,38362,Take one tablet every morning.
Lisinopril,11759,Take one tablet every 4-6 hours.
Paracetamol,13676,Take one tablet with water.
Paracetamol,32742,Take one tablet every 4-6 hours.
Azithromycin,46654,Take one tablet with water.
Ibuprofen,30608,Take one tablet daily.
Metoprolol,28161,Take one tablet before bedtime.
Losartan,9611,Take one tablet every 4-6 hours.
Levothyroxine,10189,Take one tablet with water.
Ibuprofen,20047,Take one tablet three times a day.
Amoxicillin,20478,Take one tablet twice daily.
Amlodipine,27473,Take one tablet every 6 hours.
Levothyroxine,29909,Take one tablet daily.
Tamsulosin,15847,Take one tablet before bedtime.
Losartan,33846,Take one tablet twice daily.
Metoprolol,22674,Take one tablet with water.
Simvastatin,6190,Take one tablet every 8 hours for 7 days.
Amlodipine,16083,Take one tablet every 4-6 hours.
Sertraline,43717,Take one tablet daily.
Hydrochlorothiazide,18267,Take one tablet every 6 hours.
Metoprolol,13178,Take one tablet every 6 hours.
Montelukast,14123,Take one tablet three times a day.
Tamsulosin,48261,Take one tablet three times a day.
Azithromycin,5713,Take one tablet before meals.
Lisinopril,13338,Take one tablet every 8 hours for 7 days.
Simvastatin,12219,Take one tablet every morning.
Paracetamol,9384,Take one tablet before meals.
Metoprolol,44495,Take one tablet with water.
Metoprolol,36591,Take one tablet every 4-6 hours.
Sertraline,14014,Take one tablet every 8 hours for 7 days.
Furosemide,45305,Take one tablet before meals.
Amoxicillin,34845,Take one tablet before meals.
Tamsulosin,20916,Take one tablet every morning.
Hydrochlorothiazide,40743,Take one tablet before meals.
Simvastatin,33952,Take one tablet before bedtime.
Omeprazole,30334,Take one tablet three times a day.
Metformin,37319,Take one tablet every 8 hours for 7 days.
Amoxicillin,41274,Take one tablet before bedtime.
Levothyroxine,43158,Take one tablet with water.
Cetirizine,21836,Take one tablet twice daily.
Simvastatin,38767,Take one tablet every 8 hours for 7 days.
Sertraline,44228,Take one tablet with water.
Losartan,36852,Take one tablet three times a day.
Furosemide,22301,Take one tablet before meals.
Levothyroxine,6989,Take one tablet every morning.
Simvastatin,38762,Take one tablet every 4-6 hours.
Ibuprofen,30667,Take one tablet three times a day.
Lisinopril,17828,Take one tablet with water.
Tamsulosin,44201,Take one tablet daily.
Sertraline,22700,Take one tablet twice daily.
Metformin,33170,Take one tablet three times a day.
Azithromycin,44210,Take one tablet with water.
Simvastatin,48066,Take one tablet twice daily.
Furosemide,7047,Take one tablet daily.
Tamsulosin,7200,Take one tablet twice daily.
Metoprolol,20601,Take one tablet every 6 hours.
Hydrochlorothiazide,42269,Take one tablet twice daily.
Simvastatin,39921,Take one tablet before meals.
Gabapentin,7319,Take one tablet before bedtime.
Levothyroxine,32885,Take one tablet every 6 hours.
Sertraline,47778,Take one tablet with water.
Paracetamol,34930,Take one tablet before bedtime.
Sertraline,25949,Take one tablet every 6 hours.
Gabapentin,48738,Take one tablet every morning.
Amoxicillin,32477,Take one tablet with water.
Ibuprofen,10579,Take one tablet daily.
Metformin,9497,Take one tablet twice daily.
Lisinopril,13987,Take one tablet twice daily.
Tamsulosin,35391,Take one tablet every 8 hours for 7 days.
Tamsulosin,12989,Take one tablet twice daily.
Omeprazole,22527,Take one tablet every 6 hours.
Tamsulosin,15965,Take one tablet every 8 hours for 7 days.
Sertraline,14739,Take one tablet every morning.
Metformin,15537,Take one tablet before bedtime.
Metoprolol,43114,Take one tablet with water.
Metformin,47773,Take one tablet twice daily.
Amoxicillin,22300,Take one tablet every 8 hours for 7 days.
Lisinopril,34353,Take one tablet every 8 hours for 7 days.
Metoprolol,31141,Take one tablet before meals.
Levothyroxine,5386,Take one tablet every morning.
Lisinopril,11752,Take one tablet before bedtime.
Azithromycin,14625,Take one tablet with water.
Hydrochlorothiazide,45978,Take one tablet before bedtime.
Paracetamol,23406,Take one tablet before bedtime.
Losartan,28173,Take one tablet before meals.
Atorvastatin,26305,Take one tablet before bedtime.
Losartan,26436,Take one tablet every 4-6 hours.
Levothyroxine,20888,Take one tablet every 4-6 hours.
Omeprazole,12013,Take one tablet every 6 hours.
Sertraline,45347,Take one tablet before meals.
Amlodipine,31709,Take one tablet every 8 hours for 7 days.
Simvastatin,24998,Take one tablet three times a day.
Ibuprofen,45756,Take one tablet before meals.
Paracetamol,12270,Take one tablet every 6 hours.
Metoprolol,45288,Take one tablet three times a day.
Tamsulosin,35049,Take one tablet twice daily.
Sertraline,7772,Take one tablet every 6 hours.
Metformin,40832,Take one tablet every morning.
Metoprolol,12222,Take one tablet before bedtime.
Sertraline,48279,Take one tablet every 4-6 hours.
Hydrochlorothiazide,16567,Take one tablet daily.
Metoprolol,12193,Take one tablet every morning.
Montelukast,37175,Take one tablet twice daily.
Metoprolol,40968,Take one tablet with water.
Sertraline,45061,Take one tablet before bedtime.
Tamsulosin,28853,Take one tablet every 6 hours.
Metformin,9400,Take one tablet with water.
Ibuprofen,17619,Take one tablet before meals.
Montelukast,34858,Take one tablet daily.
Paracetamol,12145,Take one tablet every 6 hours.
Azithromycin,15905,Take one tablet three times a day.
Paracetamol,25236,Take one tablet every morning.
Hydrochlorothiazide,40425,Take one tablet every 4-6 hours.
Lisinopril,11062,Take one tablet every morning.
Montelukast,36530,Take one tablet twice daily.
Simvastatin,33164,Take one tablet twice daily.
Montelukast,26388,Take one tablet before bedtime.
Amoxicillin,26809,Take one tablet every 4-6 hours.
Cetirizine,27142,Take one tablet three times a day.
Furosemide,41565,Take one tablet three times a day.
Paracetamol,34767,Take one tablet with water.
Furosemide,19358,Take one tablet with water.
Losartan,35736,Take one tablet three times a day.
Sertraline,25560,Take one tablet before meals.
Lisinopril,31277,Take one tablet before bedtime.
Furosemide,32117,Take one tablet before meals.
Paracetamol,18752,Take one tablet every 4-6 hours.
Simvastatin,23152,Take one tablet every 8 hours for 7 days.
Azithromycin,8237,Take one tablet daily.
Lisinopril,23573,Take one tablet before meals.
Lisinopril,10403,Take one tablet every morning.
Ibuprofen,31534,Take one tablet every morning.
Metoprolol,38336,Take one tablet every 8 hours for 7 days.
Amoxicillin,49751,Take one tablet every 6 hours.
Lisinopril,35839,Take one tablet twice daily.
Sertraline,7171,Take one tablet every 4-6 hours.
Lisinopril,46531,Take one tablet every morning.
Amlodipine,49756,Take one tablet every 4-6 hours.
Azithromycin,38782,Take one tablet daily.
Sertraline,22839,Take one tablet before bedtime.
Metformin,30206,Take one tablet three times a day.
Simvastatin,6847,Take one tablet every 6 hours.
Gabapentin,23943,Take one tablet daily.
Gabapentin,9512,Take one tablet twice daily.
Amlodipine,13572,Take one tablet every morning.
Metformin,49054,Take one tablet daily.
Amoxicillin,17810,Take one tablet before meals.
Montelukast,49749,Take one tablet with water.
Hydrochlorothiazide,45882,Take one tablet before bedtime.
Ibuprofen,41959,Take one tablet with water.
Cetirizine,8855,Take one tablet every 4-6 hours.
Azithromycin,9062,Take one tablet every morning.
Furosemide,15069,Take one tablet before bedtime.
Furosemide,7181,Take one tablet every 4-6 hours.
Amlodipine,40768,Take one tablet three times a day.
Losartan,10593,Take one tablet daily.
Levothyroxine,6633,Take one tablet every morning.
Omeprazole,8340,Take one tablet twice daily.
Amlodipine,30888,Take one tablet every morning.
Tamsulosin,15690,Take one tablet three times a day.
Atorvastatin,46546,Take one tablet three times a day.
Montelukast,27887,Take one tablet every morning.
Atorvastatin,37269,Take one tablet three times a day.
Furosemide,44918,Take one tablet twice daily.
Ibuprofen,27395,Take one tablet three times a day.
Sertraline,27400,Take one tablet before bedtime.
Metformin,9561,Take one tablet three times a day.
Paracetamol,37323,Take one tablet before bedtime.
Tamsulosin,10748,Take one tablet daily.
Sertraline,26129,Take one tablet before bedtime.
Levothyroxine,19937,Take one tablet daily.
Cetirizine,13233,Take one tablet twice daily.
Omeprazole,15344,Take one tablet every morning.
Lisinopril,29755,Take one tablet daily.
Omeprazole,25640,Take one tablet twice daily.
Paracetamol,11404,Take one tablet daily.
Sertraline,22823,Take one tablet three times a day.
Azithromycin,24156,Take one tablet with water.
Simvastatin,27549,Take one tablet with water.
Montelukast,16844,Take one tablet with water.
Metformin,42565,Take one tablet daily.
Losartan,35784,Take one tablet before bedtime.
Metformin,15480,Take one tablet every 8 hours for 7 days.
Sertraline,39043,Take one tablet twice daily.
Cetirizine,31257,Take one tablet with water.
Tamsulosin,24975,Take one tablet every 6 hours.
Amoxicillin,9144,Take one tablet daily.
Metformin,47793,Take one tablet twice daily.
Tamsulosin,25549,Take one tablet before bedtime.
Azithromycin,15985,Take one tablet daily.
Hydrochlorothiazide,33257,Take one tablet before meals.
Losartan,40672,Take one tablet every 4-6 hours.
Furosemide,7663,Take one tablet with water.
Furosemide,15217,Take one tablet every 8 hours for 7 days.
Ibuprofen,33622,Take one tablet twice daily.
Levothyroxine,21159,Take one tablet every 6 hours.
Losartan,13042,Take one tablet every 4-6 hours.
Sertraline,25749,Take one tablet three times a day.
Gabapentin,7584,Take one tablet with water.
Atorvastatin,6564,Take one tablet twice daily.
Atorvastatin,15478,Take one tablet three times a day.
Cetirizine,31875,Take one tablet before meals.
Simvastatin,43395,Take one tablet every 6 hours.
Gabapentin,46261,Take one tablet every 4-6 hours.
Cetirizine,44334,Take one tablet before meals.
Omeprazole,38926,Take one tablet every 6 hours.
Tamsulosin,13026,Take one tablet every 4-6 hours.
Hydrochlorothiazide,18952,Take one tablet with water.
Furosemide,24679,Take one tablet with water.
Lisinopril,46694,Take one tablet every 6 hours.
Furosemide,48372,Take one tablet daily.
Lisinopril,5235,Take one tablet every morning.
Paracetamol,5268,Take one tablet with water.
Azithromycin,32329,Take one tablet every 8 hours for 7 days.
Amlodipine,23963,Take one tablet every 4-6 hours.
Metformin,47200,Take one tablet every morning.
Hydrochlorothiazide,23186,Take one tablet every 4-6 hours.
Simvastatin,22892,Take one tablet twice daily.
Azithromycin,27624,Take one tablet every morning.
Simvastatin,38369,Take one tablet every 8 hours for 7 days.
Cetirizine,20830,Take one tablet three times a day.
Cetirizine,15570,Take one tablet with water.
Sertraline,16277,Take one tablet before bedtime.
Azithromycin,12162,Take one tablet before bedtime.
Hydrochlorothiazide,9099,Take one tablet twice daily.
Furosemide,37644,Take one tablet before meals.
Omeprazole,9916,Take one tablet before bedtime.
Amoxicillin,9678,Take one tablet before meals.
Hydrochlorothiazide,43828,Take one tablet with water.
Cetirizine,43905,Take one tablet with water.
Levothyroxine,25369,Take one tablet every 6 hours.
Cetirizine,8812,Take one tablet three times a day.
Ibuprofen,22529,Take one tablet with water.
Cetirizine,7406,Take one tablet twice daily.
Amoxicillin,16247,Take one tablet every 8 hours for 7 days.
Tamsulosin,14735,Take one tablet twice daily.
Ibuprofen,29267,Take one tablet every 4-6 hours.
Simvastatin,37357,Take one tablet three times a day.
Azithromycin,38952,Take one tablet every morning.
Metformin,16921,Take one tablet daily.
Hydrochlorothiazide,44295,Take one tablet every morning.
Amoxicillin,45534,Take one tablet before bedtime.
Tamsulosin,17171,Take one tablet daily.
Amoxicillin,49397,Take one tablet every morning.
Simvastatin,12045,Take one tablet every 8 hours for 7 days.
Lisinopril,20876,Take one tablet twice daily.
Ibuprofen,47094,Take one tablet before meals.
Metoprolol,24549,Take one tablet daily.
Sertraline,25776,Take one tablet every 6 hours.
Simvastatin,22613,Take one tablet three times a day.
Tamsulosin,16376,Take one tablet with water.
Sertraline,44524,Take one tablet with water.
Omeprazole,39933,Take one tablet every 6 hours.
Hydrochlorothiazide,13494,Take one tablet before meals.
Cetirizine,41364,Take one tablet every morning.
Metoprolol,13115,Take one tablet before bedtime.
Amoxicillin,9909,Take one tablet before meals.
Paracetamol,36522,Take one tablet before meals.
Azithromycin,48891,Take one tablet twice daily.
Metformin,22228,Take one tablet every morning.
Hydrochlorothiazide,47542,Take one tablet before bedtime.
Montelukast,34395,Take one tablet before meals.
Sertraline,27723,Take one tablet twice daily.
Atorvastatin,31483,Take one tablet every morning.
Hydrochlorothiazide,16427,Take one tablet twice daily.
Metformin,24891,Take one tablet every 8 hours for 7 days.
Cetirizine,17138,Take one tablet every morning.
Montelukast,41767,Take one tablet three times a day.
Amoxicillin,22279,Take one tablet before meals.
Sertraline,16415,Take one tablet with water.
Gabapentin,7465,Take one tablet every morning.
Tamsulosin,9943,Take one tablet before meals.
Gabapentin,17283,Take one tablet twice daily.
Atorvastatin,24032,Take one tablet before bedtime.
Gabapentin,49370,Take one tablet before bedtime.
Metoprolol,36568,Take one tablet daily.
Furosemide,24347,Take one tablet before meals.
Amlodipine,18363,Take one tablet every 4-6 hours.
Gabapentin,37897,Take one tablet twice daily.
Losartan,10150,Take one tablet before bedtime.
Sertraline,30515,Take one tablet every 4-6 hours.
Lisinopril,48616,Take one tablet before bedtime.
Furosemide,24593,Take one tablet every 4-6 hours.
Hydrochlorothiazide,28338,Take one tablet every 4-6 hours.
Amlodipine,32857,Take one tablet before meals.
Omeprazole,29147,Take one tablet twice daily.
Paracetamol,24646,Take one tablet every morning.
Losartan,31845,Take one tablet every morning.
Paracetamol,42402,Take one tablet twice daily.
Gabapentin,5352,Take one tablet every 4-6 hours.
Ibuprofen,12518,Take one tablet before bedtime.
Sertraline,41069,Take one tablet every 4-6 hours.
Losartan,36158,Take one tablet three times a day.
Cetirizine,40873,Take one tablet before meals.
Metoprolol,11135,Take one tablet every 8 hours for 7 days.
Metformin,29145,Take one tablet before meals.
Tamsulosin,17510,Take one tablet twice daily.
Losartan,7920,Take one tablet every 8 hours for 7 days.
Furosemide,11390,Take one tablet every morning.
Paracetamol,23638,Take one tablet daily.
Amoxicillin,36248,Take one tablet three times a day.
Levothyroxine,33046,Take one tablet before bedtime.
Amoxicillin,15906,Take one tablet three times a day.
Montelukast,35772,Take one tablet before meals.
Metformin,43493,Take one tablet every 6 hours.
Amoxicillin,31462,Take one tablet daily.
Amlodipine,40321,Take one tablet daily.
Tamsulosin,25135,Take one tablet twice daily.
Gabapentin,14518,Take one tablet every morning.
Atorvastatin,14942,Take one tablet before bedtime.
Amlodipine,39241,Take one tablet twice daily.
Paracetamol,49816,Take one tablet every 4-6 hours.
Paracetamol,37700,Take one tablet with water.
Paracetamol,7253,Take one tablet daily.
Omeprazole,5011,Take one tablet every 8 hours for 7 days.
Losartan,37132,Take one tablet every 4-6 hours.
Cetirizine,41356,Take one tablet three times a day.
Simvastatin,14306,Take one tablet before bedtime.
Losartan,30595,Take one tablet before meals.
Paracetamol,47199,Take one tablet every 8 hours for 7 days.
Simvastatin,24972,Take one tablet every 8 hours for 7 days.
Cetirizine,19341,Take one tablet daily.
Losartan,29305,Take one tablet twice daily.
Tamsulosin,31921,Take one tablet with water.
Simvastatin,49302,Take one tablet every 6 hours.
Paracetamol,32379,Take one tablet daily.
Lisinopril,34967,Take one tablet every 4-6 hours.
Gabapentin,9316,Take one tablet every 8 hours for 7 days.
Paracetamol,49971,Take one tablet three times a day.
Lisinopril,5690,Take one tablet twice daily.
Metformin,23608,Take one tablet three times a day.
Furosemide,30185,Take one tablet with water.
Losartan,26204,Take one tablet every 4-6 hours.
Omeprazole,45822,Take one tablet twice daily.
Ibuprofen,5201,Take one tablet every 6 hours.
Metformin,46895,Take one tablet daily.
Sertraline,24149,Take one tablet every 8 hours for 7 days.
Tamsulosin,43941,Take one tablet before bedtime.
Ibuprofen,43534,Take one tablet every 8 hours for 7 days.
Metoprolol,28118,Take one tablet twice daily.
Atorvastatin,37271,Take one tablet every 6 hours.
Azithromycin,14076,Take one tablet daily.
Lisinopril,47853,Take one tablet every 8 hours for 7 days.
Metformin,19048,Take one tablet every morning.
Metoprolol,39935,Take one tablet twice daily.
Sertraline,49408,Take one tablet twice daily.
Losartan,37980,Take one tablet twice daily.
Sertraline,9716,Take one tablet before meals.
Paracetamol,9853,Take one tablet every 4-6 hours.
Hydrochlorothiazide,13725,Take one tablet before meals.
Gabapentin,11858,Take one tablet with water.
Montelukast,21188,Take one tablet with water.
Metformin,21331,Take one tablet twice daily.
Ibuprofen,12885,Take one tablet every morning.
Amlodipine,22533,Take one tablet every morning.
Furosemide,35958,Take one tablet with water.
Azithromycin,22699,Take one tablet every morning.
Furosemide,8155,Take one tablet with water.
Amoxicillin,41525,Take one tablet every morning.
Cetirizine,19057,Take one tablet every morning.
Furosemide,29926,Take one tablet twice daily.
Amoxicillin,16465,Take one tablet with water.
Omeprazole,49636,Take one tablet with water.
Azithromycin,17257,Take one tablet every 8 hours for 7 days.
Metformin,18018,Take one tablet every 6 hours.
Furosemide,20895,Take one tablet with water.
